name,short_name,construct_id
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP5-P(Cym)-33-sNrdJ-1,e26x33NrdJ1,A165
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP7-P(Cym)-30-(ST)sSspDnaX,e26x30STsSspDnaX,A168
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP11-P(Cym)-30-(ST)sPhoRadA,e26x30STPhoRadA,A173
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP20-P(Cym)-30-sCth_Ter,e26x30CthTer,A175
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP27-P(Cym)-30-sMP-M_DnaB,e26x30MPMDnaB,A177
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP31-P(Cym)-32-sNrdA-2,e26x32NrdA2,A179
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP31-P(Cym)-33-sNrdA-2,e26x33NrdA2,A180
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP33-P(Cym)-30-sMja_KlbA,e26x30MjaKlbA,A181
3K3-P26*-gfp-B15-P(ara)-sECF26*-SP33-P(Cym)-33-sMja_KlbA,e26x33MjaKlbA,A182
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP1-P(Cym)-32-sM86,e32x32M86,A183
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP2-P(Cym)-32-sNpuSsp.S2,e32x32NpuSspS2,A185
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP2-P(Cym)-30-sNpuSsp.S1,e32x30NpuSspS1,A186
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP3-P(Cym)-32-sgp41-1,e32x32gp411,A187
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP4-P(Cym)-32-sgp41-8,e32x32gp418,A189
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP5-P(Cym)-32-sNrdJ-1,e32x32NrdJ1,A190
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP5-P(Cym)-33-sNrdJ-1,e32x33NrdJ1,A191
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP8-P(Cym)-30-sSspGyrB,e32x30SspGyrB,A195
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP11-P(Cym)-30-(ST)sPhoRadA,e32x30STPhoRadA,A199
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP20-P(Cym)-32-sCth_Ter,e32x32CthTer,A202
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP31-P(Cym)-32-sNrdA-2,e32x32NrdA2,A205
3K3-P32*-gfp-B15-P(ara)-sECF32*-SP31-P(Cym)-33-sNrdA-2,e32x33NrdA2,A206
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP1-P(Cym)-32-sM86,e33x32M86,A209
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP2-P(Cym)-30-(ST)sNpuSsp.S2,e33x30STNpuSspS2,A210
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP2-P(Cym)-32-sNpuSsp.S2,e33x32NpuSspS2,A211
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP2-P(Cym)-30-sNpuSsp.S1,e33x30NpuSspS1,A212
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP3-P(Cym)-32-sgp41-1,e33x32gp411,A213
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP4-P(Cym)-30-sgp41-8,e33x30gp418,A214
